month,people
2011/1/1,57066
2011/1/6,56431
2011/1/11,56909
2011/1/16,57502
2011/1/21,58073
2011/1/26,58496
2011/1/31,59983
2011/2/5,59778
2011/2/10,60323
2011/2/15,59875
2011/2/20,60098
2011/2/25,61339
2011/3/2,62619
2011/3/7,62536
2011/3/12,62206
2011/3/17,62259
2011/3/22,63064
2011/3/27,63338
2011/4/1,64797
2011/4/6,63689
2011/4/11,63807
2011/4/16,64593
2011/4/21,65111
2011/4/26,66290
2011/5/1,67654
2011/5/6,66957
2011/5/11,66950
2011/5/16,66746
2011/5/21,67391
2011/5/26,67425
2011/5/31,70187
2011/6/5,70405
2011/6/10,69988
2011/6/15,69853
2011/6/20,69785
2011/6/25,70209
2011/6/30,71819
2011/7/5,70682
2011/7/10,70456
2011/7/15,70233
2011/7/20,70178
2011/7/25,70567
2011/7/30,73561
2011/8/4,74626
2011/8/9,73821
2011/8/14,74535
2011/8/19,74470
2011/8/24,75063
2011/8/29,76468
2011/9/3,77614
2011/9/8,76451
2011/9/13,76360
2011/9/18,77322
2011/9/23,78035
2011/9/28,80442
2011/10/3,81109
2011/10/8,81443
2011/10/13,82450
2011/10/18,83034
2011/10/23,83919
2011/10/28,84939
2011/11/2,84373
2011/11/7,84017
2011/11/12,84695
2011/11/17,84654
2011/11/22,85923
2011/11/27,87709
2011/12/2,87265
2011/12/7,86694
2011/12/12,87228
2011/12/17,87240
2011/12/22,87571
2011/12/27,89336
2012/1/1,88967
2012/1/6,88101
2012/1/11,88791
2012/1/16,89232
2012/1/21,89269
2012/1/26,90773
2012/1/31,90320
2012/2/5,89486
2012/2/10,89443
2012/2/15,89025
2012/2/20,89919
2012/2/25,91018
2012/3/1,90407
2012/3/6,88854
2012/3/11,88279
2012/3/16,87882
2012/3/21,87666
2012/3/26,88088
2012/3/31,89052
2012/4/5,87542
2012/4/10,85666
2012/4/15,85923
2012/4/20,87825
2012/4/25,89384
2012/4/30,88522
2012/5/5,88206
2012/5/10,88970
2012/5/15,90327
2012/5/20,91367
2012/5/25,91884
2012/5/30,91462
2012/6/4,90310
2012/6/9,90897
2012/6/14,90960
2012/6/19,92134
2012/6/24,93655
2012/6/29,85398
2012/7/4,80078
2012/7/9,78118
2012/7/14,76464
2012/7/19,77763
2012/7/24,81411
2012/7/29,84260
2012/8/3,83758
2012/8/8,84450
2012/8/13,83964
2012/8/18,84365
2012/8/23,85621
2012/8/28,85178
2012/9/2,84809
2012/9/7,86593
2012/9/12,82820
2012/9/17,76489
2012/9/22,75832
2012/9/27,78443
2012/10/2,81875
2012/10/7,83985
2012/10/12,85891
2012/10/17,85907
